# numero;nombre;partido_numero;provincia_numero
1,25 DE MAYO,1,1
2,AGUSTIN MOSCONI,1,1
3,DEL VALLE,1,1
4,ERNESTINA,1,1
5,GOBERNADOR UGARTE,1,1
6,LUCAS MONTEVERDE,1,1
7,NORBERTO DE LA RIESTRA,1,1
8,PEDERNALES,1,1
9,SAN ENRIQUE,1,1
10,VALDES,1,1
11,12 DE OCTUBRE,2,1
12,9 DE JULIO,2,1
13,ALFREDO DEMARCHI,2,1
14,CARLOS MARIA NAON,2,1
15,DUDIGNAC,2,1
16,LA AURORA,2,1
17,MANUEL B. GONNET,2,1
18,MARCELINO UGARTE,2,1
19,MOREA,2,1
20,NORUMBEGA,2,1
21,PATRICIOS,2,1
22,VILLA FOURNIER,2,1
23,CARHUE,3,1
24,COLONIA SAN MIGUEL ARCANGEL,3,1
25,DELFIN HUERGO,3,1
26,ESPARTILLAR,3,1
27,ESTEBAN AGUSTIN GASCON,3,1
28,LA PALA,3,1
29,MAZA,3,1
30,RIVERA,3,1
31,VILLA MARGARITA,3,1
32,ADOLFO GONZALES CHAVES,4,1
33,DE LA GARMA,4,1
34,JUAN E. BARRA,4,1
35,VASQUEZ,4,1
36,ALBERTI,5,1
37,CORONEL SEGUI,5,1
38,MECHITA,5,1
39,PLA,5,1
40,VILLA GRISOLIA,5,1
41,VILLA MARIA,5,1
42,VILLA ORTIZ,5,1
43,ADROGUE,6,1
44,ALMIRANTE BROWN,6,1
45,BURZACO,6,1
46,CLAYPOLE,6,1
47,DON ORIONE,6,1
48,GLEW,6,1
49,JOSE MARMOL,6,1
50,LONGCHAMPS,6,1
51,MALVINAS ARGENTINAS,6,1
52,MINISTRO RIVADAVIA,6,1
53,RAFAEL CALZADA,6,1
54,SAN FRANCISCO SOLANO,6,1
55,SAN JOSE,6,1
56,ARRECIFES,7,1
57,TODD,7,1
58,VI\u00d1A,7,1
59,AREA RESERVA CINTURON ECOLOGICO,8,1
60,AVELLANEDA,8,1
61,CRUCESITA,8,1
62,DOCK SUD,8,1
63,GERLI,8,1
64,PI\u00d1EYRO,8,1
65,SARANDI,8,1
66,VILLA DOMINICO,8,1
67,WILDE,8,1
68,AYACUCHO,9,1
69,LA CONSTANCIA,9,1
70,SOLANET,9,1
71,UDAQUIOLA,9,1
72,16 DE JULIO,10,1
73,ARIEL,10,1
74,AZUL,10,1
75,CACHARI,10,1
76,CHILLAR,10,1
77,BAHIA BLANCA,11,1
78,CABILDO,11,1
79,GENERAL DANIEL CERRI,11,1
80,GR\u00dcNBEIN,11,1
81,INGENIERO WHITE,11,1
82,VILLA BORDEAU,11,1
83,VILLA ESPORA,11,1
84,BALCARCE,12,1
85,LOS PINOS,12,1
86,NAPALEOFU,12,1
87,RAMOS OTERO,12,1
88,SAN AGUSTIN,12,1
89,VILLA LAGUNA LA BRAVA,12,1
90,BARADERO,13,1
91,IRINEO PORTELA,13,1
92,SANTA COLOMA,13,1
93,VILLA ALSINA,13,1
94,BARKER,14,1
95,BENITO JUAREZ,14,1
96,LOPEZ,14,1
97,TEDIN URIBURU,14,1
98,VILLA CACIQUE,14,1
99,BERAZATEGUI,15,1
100,BERAZATEGUI OESTE,15,1
101,CARLOS TOMAS SOURIGUES,15,1
102,EL PATO,15,1
103,GUILLERMO ENRIQUE HUDSON,15,1
104,JUAN MARIA GUTIERREZ,15,1
105,PEREYRA,15,1
106,PLATANOS,15,1
107,RANELAGH,15,1
108,VILLA ESPA\u00d1A,15,1
109,BARRIO BANCO PROVINCIA,16,1
110,BARRIO EL CARMEN ESTE,16,1
111,BARRIO UNIVERSITARIO,16,1
112,BERISSO,16,1
113,LOS TALAS,16,1
114,VILLA ARG\u00dcELLO,16,1
115,VILLA DOLORES,16,1
116,VILLA INDEPENDENCIA,16,1
117,VILLA NUEVA,16,1
118,VILLA PORTE\u00d1A,16,1
119,VILLA PROGRESO,16,1
120,VILLA SAN CARLOS,16,1
121,VILLA ZULA,16,1
122,HALE,17,1
123,JUAN F. IBARRA,17,1
124,PAULA,17,1
125,PIROVANO,17,1
126,SAN CARLOS DE BOLIVAR,17,1
127,URDAMPILLETA,17,1
128,VILLA LYNCH PUEYRREDON,17,1
129,BRAGADO,18,1
130,COMODORO PY,18,1
131,GENERAL OBRIEN,18,1
132,IRALA,18,1
133,JUAN F. SALABERRY,18,1
134,LA LIMPIA,18,1
135,MECHITA,18,1
136,OLASCOAGA,18,1
137,WARNES,18,1
138,ALTAMIRANO,19,1
139,BARRIO LAS GOLONDRINAS,19,1
140,BARRIO LOS BOSQUECITOS,19,1
141,BARRIO PARQUE LAS ACACIAS,19,1
142,CORONEL BRANDSEN,19,1
143,GOMEZ,19,1
144,JEPPENER,19,1
145,OLIDEN,19,1
146,SAMBOROMBON,19,1
147,BARRIO LOS PIONEROS (BARRIO TAVELLA),20,1
148,LOS CARDALES,20,1
149,ALEJANDRO PETION,21,1
150,BARRIO EL TALADRO,21,1
151,CA\u00d1UELAS,21,1
152,GOBERNADOR UDAONDO,21,1
153,SANTA ROSA,21,1
154,URIBELARREA,21,1
155,VICENTE CASARES,21,1
156,CAPITAN SARMIENTO,22,1
157,LA LUISA,22,1
158,BELLOCQ,23,1
159,CADRET,23,1
160,CARLOS CASARES,23,1
161,COLONIA MAURICIO,23,1
162,HORTENSIA,23,1
163,LA SOFIA,23,1
164,MAURICIO HIRSCH,23,1
165,MOCTEZUMA,23,1
166,ORDOQUI,23,1
167,SMITH,23,1
168,CARLOS TEJEDOR,24,1
169,COLONIA SERE,24,1
170,CURARU,24,1
171,TIMOTE,24,1
172,TRES ALGARROBOS,24,1
173,CARMEN DE ARECO,25,1
174,PUEBLO GOUIN,25,1
175,TRES SARGENTOS,25,1
176,CASTELLI,26,1
177,CENTRO GUERRERO,26,1
178,CERRO DE LA GLORIA,26,1
179,CASTILLA,27,1
180,CHACABUCO,27,1
181,LOS ANGELES,27,1
182,OHIGGINS,27,1
183,RAWSON,27,1
184,BARRIO SAN CAYETANO,28,1
185,CHASCOMUS,28,1
186,VILLA PARQUE GIRADO,28,1
187,CHIVILCOY,29,1
188,EMILIO AYARZA,29,1
189,GOROSTIAGA,29,1
190,LA RICA,29,1
191,MOQUEHUA,29,1
192,RAMON BIAUS,29,1
193,SAN SEBASTIAN,29,1
194,COLON,30,1
195,PEARSON,30,1
196,SARASA,30,1
197,VILLA MANUEL POMAR,30,1
198,BAJO HONDO,31,1
199,BALNEARIO PEHUEN CO,31,1
200,PUNTA ALTA,31,1
201,VILLA DEL MAR,31,1
202,VILLA GENERAL ARIAS,31,1
203,APARICIO,32,1
204,CORONEL DORREGO,32,1
205,EL PERDIDO,32,1
206,FARO,32,1
207,IRENE,32,1
208,MARISOL,32,1
209,ORIENTE,32,1
210,SAN ROMAN,32,1
211,CORONEL PRINGLES,33,1
212,EL DIVISORIO,33,1
213,EL PENSAMIENTO,33,1
214,INDIO RICO,33,1
215,LARTIGAU,33,1
216,CASCADA,34,1
217,CORONEL SUAREZ,34,1
218,CURAMALAL,34,1
219,DORBIGNY,34,1
220,HUANGUELEN,34,1
221,PASMAN,34,1
222,SAN JOSE,34,1
223,SANTA MARIA,34,1
224,SANTA TRINIDAD,34,1
225,VILLA LA ARCADIA,34,1
226,ANDANT,35,1
227,ARBOLEDAS,35,1
228,DAIREAUX,35,1
229,LA LARGA,35,1
230,SALAZAR,35,1
231,DOLORES,36,1
232,SEVIGNE,36,1
233,DIQUE N\u00b0 1,37,1
234,ENSENADA,37,1
235,ISLA SANTIAGO,37,1
236,PUNTA LARA,37,1
237,VILLA CATELA,37,1
238,BELEN DE ESCOBAR,38,1
239,EL CAZADOR,38,1
240,ESCOBAR,38,1
241,GARIN,38,1
242,INGENIERO MASCHWITZ,38,1
243,LOMA VERDE,38,1
244,MAQUINISTA F. SAVIO ESTE,38,1
245,MATHEU,38,1
246,9 DE ABRIL,39,1
247,CANNING,39,1
248,EL JAG\u00dcEL,39,1
249,ESTEBAN ECHEVERRIA,39,1
250,LUIS GUILLON,39,1
251,MONTE GRANDE,39,1
252,ARROYO DE LA CRUZ,40,1
253,EL REMANSO,40,1
254,PARADA ORLANDO,40,1
255,PARADA ROBLES,40,1
256,PARADA ROBLES - PAVON,40,1
257,PAVON,40,1
258,AEROPUERTO INTERNACIONAL EZEIZA,41,1
259,CANNING,41,1
260,CARLOS SPEGAZZINI,41,1
261,EZEIZA,41,1
262,JOSE MARIA EZEIZA,41,1
263,LA UNION,41,1
264,TRISTAN SUAREZ,41,1
265,BOSQUES,42,1
266,EL TROPEZON,42,1
267,ESTANISLAO SEVERO ZEBALLOS,42,1
268,FLORENCIO VARELA,42,1
269,GOBERNADOR JULIO A. COSTA,42,1
270,INGENIERO JUAN ALLAN,42,1
271,LA CAPILLA,42,1
272,SAN JUAN BAUTISTA,42,1
273,VILLA BROWN,42,1
274,VILLA SAN LUIS,42,1
275,VILLA SANTA ROSA,42,1
276,VILLA VATTEONE,42,1
277,BLAQUIER,43,1
278,FLORENTINO AMEGHINO,43,1
279,PORVENIR,43,1
280,COMANDANTE NICANOR OTAMENDI,44,1
281,MAR DEL SUR,44,1
282,MECHONGUE,44,1
283,MIRAMAR,44,1
284,GENERAL ALVEAR,45,1
285,ARRIBE\u00d1OS,46,1
286,ASCENSION,46,1
287,ESTACION ARENALES,46,1
288,FERRE,46,1
289,GENERAL ARENALES,46,1
290,LA ANGELITA,46,1
291,LA TRINIDAD,46,1
292,GENERAL BELGRANO,47,1
293,GORCHS,47,1
294,GENERAL GUIDO,48,1
295,LABARDEN,48,1
296,BARRIO KENNEDY,49,1
297,GENERAL JUAN MADARIAGA,49,1
298,GENERAL LA MADRID,50,1
299,LA COLINA,50,1
300,LAS MARTINETAS,50,1
301,LIBANO,50,1
302,PONTAUT,50,1
303,GENERAL HORNOS,51,1
304,GENERAL LAS HERAS,51,1
305,LA CHOZA,51,1
306,PLOMER,51,1
307,GENERAL LAVALLE,52,1
308,BARRIO RIO SALADO,53,1
309,LOMA VERDE,53,1
310,RANCHOS,53,1
311,VILLANUEVA,53,1
312,COLONIA SAN RICARDO,54,1
313,GENERAL PINTO,54,1
314,GERMANIA,54,1
315,VILLA FRANCIA,54,1
316,VILLA ROTH,54,1
317,BARRIO COLINAS VERDES,55,1
318,BARRIO EL CASAL,55,1
319,BARRIO EL COYUNCO,55,1
320,BARRIO LA GLORIA,55,1
321,BARRIO SANTA PAULA,55,1
322,BATAN,55,1
323,CAMET,55,1
324,CHAPADMALAL,55,1
325,EL MARQUESADO,55,1
326,ESTACION CAMET,55,1
327,ESTACION CHAPADMALAL,55,1
328,MAR DEL PLATA,55,1
329,PUNTA MOGOTES,55,1
330,SIERRA DE LOS PADRES,55,1
331,BARRIO MORABO,56,1
332,BARRIO RUTA 24 KILOMETRO 10,56,1
333,COUNTRY CLUB BOSQUE REAL,56,1
334,GENERAL RODRIGUEZ,56,1
335,BARRIO PARQUE GENERAL SAN MARTIN,57,1
336,BILLINGHURST,57,1
337,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,57,1
338,CIUDAD JARDIN EL LIBERTADOR,57,1
339,GENERAL SAN MARTIN,57,1
340,VA.MARIA IRENE DE LOS REMEDIOS ESCALADA,57,1
341,VA.MARQUES ALEJANDRO MARIA DE AGUADO,57,1
342,VILLA AYACUCHO,57,1
343,VILLA BALLESTER,57,1
344,VILLA BERNARDO MONTEAGUDO,57,1
345,VILLA CHACABUCO,57,1
346,VILLA CORONEL JOSE M. ZAPIOLA,57,1
347,VILLA GENERAL ANTONIO J. DE SUCRE,57,1
348,VILLA GENERAL EUGENIO NECOCHEA,57,1
349,VILLA GENERAL JOSE TOMAS GUIDO,57,1
350,VILLA GENERAL JUAN G. LAS HERAS,57,1
351,VILLA GODOY CRUZ,57,1
352,VILLA GRANADEROS DE SAN MARTIN,57,1
353,VILLA GREGORIA MATORRAS,57,1
354,VILLA JOSE LEON SUAREZ,57,1
355,VILLA JUAN MARTIN DE PUEYRREDON,57,1
356,VILLA LIBERTAD,57,1
357,VILLA LYNCH,57,1
358,VILLA MAIPU,57,1
359,VILLA PARQUE PRESIDENTE FIGUEROA ALCORTA,57,1
360,VILLA PARQUE SAN LORENZO,57,1
361,VILLA SAN ANDRES,57,1
362,VILLA YAPEYU,57,1
363,BAIGORRITA,58,1
364,LA DELFINA,58,1
365,LOS TOLDOS,58,1
366,SAN EMILIO,58,1
367,ZAVALIA,58,1
368,BANDERALO,59,1
369,CA\u00d1ADA SECA,59,1
370,CORONEL CHARLONE,59,1
371,EMILIO V. BUNGE,59,1
372,GENERAL VILLEGAS,59,1
373,MASSEY,59,1
374,PICHINCHA,59,1
375,PIEDRITAS,59,1
376,SANTA ELEODORA,59,1
377,SANTA REGINA,59,1
378,VILLA SABOYA,59,1
379,VILLA SAUZE,59,1
380,ARROYO VENADO,60,1
381,CASBAS,60,1
382,GARRE,60,1
383,GUAMINI,60,1
384,LAGUNA ALSINA,60,1
385,HENDERSON,61,1
386,HERRERA VEGAS,61,1
387,HURLINGHAM,62,1
388,VILLA SANTOS TESEI,62,1
389,WILLIAM C. MORRIS,62,1
390,ITUZAINGO,63,1
391,ITUZAINGO CENTRO,63,1
392,ITUZAINGO SUR,63,1
393,VILLA GOBERNADOR UDADONDO,63,1
394,DEL VISO,64,1
395,JOSE C. PAZ,64,1
396,TORTUGUITAS,64,1
397,AGUSTIN ROCA,65,1
398,AGUSTINA,65,1
399,BALNEARIO LAGUNA DE GOMEZ,65,1
400,FORTIN TIBURCIO,65,1
401,JUNIN,65,1
402,LAPLACETTE,65,1
403,SAFORCADA,65,1
404,AGUAS VERDES,66,1
405,LAS TONINAS,66,1
406,LUCILA DEL MAR,66,1
407,MAR DE AJO,66,1
408,MAR DE AJO - SAN BERNARDO,66,1
409,MAR DE AJO NORTE,66,1
410,MAR DEL TUYU,66,1
411,SAN BERNARDO,66,1
412,SAN CLEMENTE DEL TUYU,66,1
413,SANTA TERESITA,66,1
414,SANTA TERESITA - MAR DEL TUYU,66,1
415,20 DE JUNIO,67,1
416,ALDO BONZI,67,1
417,CIUDAD EVITA,67,1
418,GONZALEZ CATAN,67,1
419,GREGORIO DE LAFERRERE,67,1
420,ISIDRO CASANOVA,67,1
421,LA MATANZA,67,1
422,LA TABLADA,67,1
423,LOMAS DEL MIRADOR,67,1
424,RAFAEL CASTILLO,67,1
425,RAMOS MEJIA,67,1
426,SAN JUSTO,67,1
427,TAPIALES,67,1
428,VILLA EDUARDO MADERO,67,1
429,VILLA LUZURIAGA,67,1
430,VIRREY DEL PINO,67,1
431,ABASTO,68,1
432,ANGEL ETCHEVERRY,68,1
433,ARANA,68,1
434,ARTURO SEGUI,68,1
435,BARRIO EL CARMEN OESTE,68,1
436,BARRIO GAMBIER,68,1
437,BARRIO LAS MALVINAS,68,1
